run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,repetition,schedule_index,success_count,failure_count,wall_clock_s,entries_per_second
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,async,2,203,200,0,0.07696596599998884,2598.5511570143744
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,async,3,145,200,0,0.07789763799519278,2567.471943274357
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,async,4,189,200,0,0.07821530499495566,2557.044302427749
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,sync,0,184,200,0,0.11124427599133924,1797.8453113000683
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,sync,1,108,200,0,0.12057640301645733,1658.6993391460037
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,sync,2,46,200,0,0.11047460799454711,1810.3707596760312
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,sync,3,133,200,0,0.11061956500634551,1807.9984312768481
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,insert,sync,4,87,200,0,0.11310587800107896,1768.2546967019002
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,async,0,81,200,0,0.013605554995592684,14699.878106022652
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,async,1,63,200,0,0.012321358983172104,16231.97573199109
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,async,2,159,200,0,0.011910243018064648,16792.268612542463
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,async,3,132,200,0,0.012318950000917539,16235.149910106269
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,async,4,34,200,0,0.012752093985909596,15683.69871026591
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,sync,0,40,200,0,0.009997305984143168,20005.389483649105
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,sync,1,14,200,0,0.00977743201656267,20455.26879258338
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,sync,2,204,200,0,0.010708460991736501,18676.820147576378
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,sync,3,99,200,0,0.011003090010490268,18176.71216079496
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,sync,4,6,200,0,0.010731094982475042,18637.42705908578
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,async,0,151,2000,0,0.6841768409940414,2923.2208402351025
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,async,1,47,2000,0,0.6781103689863812,2949.3723904997046
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,async,2,66,2000,0,0.6642417489783838,3010.9519660214632
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,async,3,49,2000,0,0.6724320389912464,2974.278267585694
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,async,4,51,2000,0,0.6912981019995641,2893.107899783097
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,sync,0,205,2000,0,0.9752992789726704,2050.652597740763
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,sync,1,175,2000,0,0.9808163020061329,2039.1178204412577
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,sync,2,104,2000,0,0.9835211700119544,2033.5098633166083
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,sync,3,15,2000,0,0.9650707750115544,2072.38686714563
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,sync,4,144,2000,0,0.9810342550044879,2038.6647966648734
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,async,0,3,2000,0,0.1137723569991067,17578.9625244004
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,async,1,167,2000,0,0.10536587602109648,18981.47745290475
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,async,2,171,2000,0,0.10338444900116883,19345.26922881205
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,async,3,161,2000,0,0.10502033200464211,19043.931416171832
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,async,4,38,2000,0,0.10334055597195402,19353.48596869159
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,sync,0,9,2000,0,0.10604361500008963,18860.16428238805
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,sync,1,123,2000,0,0.10589204699499533,18887.15967587749
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,sync,2,97,2000,0,0.11580652301199734,17270.18433834512
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,sync,3,100,2000,0,0.10430431601707824,19174.661954281266
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,sync,4,57,2000,0,0.10656048599048518,18768.68317003153
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,async,0,62,40,0,0.02803598900209181,1426.7376120391377
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,async,1,154,40,0,0.024004401988349855,1666.3610290901372
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,async,2,164,40,0,0.04012225999031216,996.9528139655722
