run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,n_reps,wall_clock_s_median,wall_clock_s_min,wall_clock_s_max,entries_per_second_median,entries_per_second_min,entries_per_second_max
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,100,read,sync,5,0.010708460991736501,0.00977743201656267,0.011003090010490268,18676.820147576378,18176.71216079496,20455.26879258338
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,async,5,0.6781103689863812,0.6642417489783838,0.6912981019995641,2949.3723904997046,2893.107899783097,3010.9519660214632
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,insert,sync,5,0.9808163020061329,0.9650707750115544,0.9835211700119544,2039.1178204412577,2033.5098633166083,2072.38686714563
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,async,5,0.10502033200464211,0.10334055597195402,0.1137723569991067,19043.931416171832,17578.9625244004,19353.48596869159
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,2,1000,read,sync,5,0.10604361500008963,0.10430431601707824,0.11580652301199734,18860.16428238805,17270.18433834512,19174.661954281266
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,async,5,0.03058212500764057,0.024004401988349855,0.12009122699964792,1307.9535836704117,333.08011750198267,1666.3610290901372
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,sync,5,0.030904175015166402,0.02027160400757566,0.04096004299935885,1294.3235009628884,976.5614748164724,1973.2035010673885
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,async,5,0.0076531700033228844,0.00742543998057954,0.021814449020894244,5226.592377097678,1833.6470456662614,5386.886178410412
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,sync,5,0.004352187999757007,0.004076501005329192,0.00482165502035059,9190.779442945319,8295.906660923149,9812.336596436056
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,async,5,0.1401728430064395,0.1365434970066417,0.14866284502204508,2853.619798391505,2690.6521258938933,2929.4694274641533
