run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,n_reps,n_samples_median,n_samples_min,n_samples_max,mean_median,mean_min,mean_max,std_median,std_min,std_max,median_median,median_min,median_max,iqr_median,iqr_min,iqr_max,p5_median,p5_min,p5_max,p95_median,p95_min,p95_max,p99_median,p99_min,p99_max,max_median,max_min,max_max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,601.0,601.0,31.330948419301166,31.264725457570712,32.19667221297837,6.313149145658607,5.8820020474769015,6.524130128402942,30.0,30.0,30.0,10.0,0.10000000000000142,10.0,20.0,20.0,20.0,40.0,40.0,40.0,40.1,40.0,40.1,50.0,50.0,70.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,45,45,resource_only,60.0,0.1,cpu_percent_total,5,601.0,601.0,601.0,6.99683860232945,6.7356073211314476,8.047420965058237,0.7768920332203167,0.6609664095584693,1.346426444640182,7.0,6.4,7.6,0.6999999999999993,0.5999999999999996,1.8000000000000007,6.4,6.4,6.4,8.2,7.6,10.4,9.5,8.8,12.2,13.8,12.2,16.6
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,601.0,601.0,3910.0342677009157,3878.2808711335015,3913.7347008077313,622.6703073926725,158.92693048484094,712.9431387181374,3883.8879651326633,3883.1690548892984,3884.3307959250224,10.060623965568993,9.920407326505028,10.577687498650448,3868.695050624353,3860.7121852468354,3876.86202840969,3900.1961404958442,3893.330588156143,3905.1369329988934,3923.2814317707307,3895.584007101008,3929.863908325585,19145.719781646494,3931.8932459601665,21359.535039912673
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,601.0,601.0,42598400.0,42205184.0,42970679.374376036,0.0,0.0,48059.402893030296,42598400.0,42205184.0,42991616.0,0.0,0.0,0.0,42598400.0,42205184.0,42860544.0,42598400.0,42205184.0,42991616.0,42598400.0,42205184.0,42991616.0,42598400.0,42205184.0,42991616.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_acl,linear_n,4,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,600.0,601.0,7.167166666666667,6.787021630615641,7.370382695507488,8.131374741444489,7.730684172083546,8.451897101511078,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,20.0,20.0,20.0,30.0,30.0,30.0,40.0,40.0,40.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_acl,linear_n,4,1,1,resource_only,60.0,0.1,cpu_percent_total,5,601.0,600.0,601.0,6.971333333333332,6.659068219633943,7.01098169717138,0.6310641479439756,0.4960058437206076,0.9574510612373084,6.9,6.5,6.9,0.7000000000000002,0.20000000000000018,1.2000000000000002,6.3,6.2,6.3,8.0,7.5,8.1,8.601999999999999,7.5,9.1,11.7,10.4,21.7
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_acl,linear_n,4,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,600.0,601.0,344.7655902050695,344.7369513405548,344.785005333466,23.25017831483977,22.99173857055611,24.05869814445946,359.7159395816814,359.5863498741493,359.7693842237284,39.822222798219116,39.786160091882095,39.99059594759228,319.67111283991864,319.6293162686483,319.83612553818625,360.42038709293973,360.29263366293105,360.6004430143809,365.1690222582133,360.7922059420743,368.7361824860502,389.57403584812255,370.6922318973214,405.8012598246975
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_acl,linear_n,4,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,600.0,601.0,169181184.0,168558592.0,169295872.0,0.0,0.0,0.0,169181184.0,168558592.0,169295872.0,0.0,0.0,0.0,169181184.0,168558592.0,169295872.0,169181184.0,168558592.0,169295872.0,169181184.0,168558592.0,169295872.0,169181184.0,168558592.0,169295872.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_int,linear_n,4,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,601.0,601.0,6.6886855241264564,6.406988352745424,7.7216306156406,7.605010170966188,7.384319316583855,7.895965681489582,9.9,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,20.0,20.0,20.0,30.0,30.0,30.0,30.299999999999997,30.0,40.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_int,linear_n,4,1,1,resource_only,60.0,0.1,cpu_percent_total,5,601.0,601.0,601.0,6.991846921797004,6.807154742096505,7.1337770382695505,0.8660848018999555,0.5041229898619747,0.9210230271431918,6.9,6.9,6.9,0.6000000000000005,0.40000000000000036,0.7999999999999998,6.3,6.3,6.3,7.9,7.5,8.0,8.7,8.1,9.3,21.7,10.6,23.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_int,linear_n,4,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,601.0,601.0,344.7711877418825,344.74560878106723,344.7796674055373,23.079425208272813,22.934519653406582,23.444458540077118,359.6825083446986,359.6162714243524,359.75616092475485,39.83100881617736,39.74853219397437,39.91507461987038,319.7209092315084,319.6914338975308,319.810071189542,360.40556432294517,360.3751288020733,360.43031782319053,364.18111603441497,361.8265183637282,364.826566204707,387.3432376324637,375.36661582915264,400.8837080067166
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm_int,linear_n,4,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,601.0,601.0,167772160.0,166854656.0,168558592.0,0.0,0.0,0.0,167772160.0,166854656.0,168558592.0,0.0,0.0,0.0,167772160.0,166854656.0,168558592.0,167772160.0,166854656.0,168558592.0,167772160.0,166854656.0,168558592.0,167772160.0,166854656.0,168558592.0
