rq,p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,median_us_rep1,median_us_rep2,delta_us,delta_pct_us,within_5pct_us,within_10pct_us,within_20pct_us,n_samples_rep1,mean_us_rep1,std_us_rep1,p25_us_rep1,p75_us_rep1,p99_us_rep1,p999_us_rep1,n_samples_rep2,mean_us_rep2,std_us_rep2,p25_us_rep2,p75_us_rep2,p99_us_rep2,p999_us_rep2,n_switches,n_entries_per_switch,operation,mode,median_s_rep1,median_s_rep2,delta_s,delta_pct_s,within_5pct_s,within_10pct_s,within_20pct_s,n_reps_rep1,mean_s_rep1,std_s_rep1,p25_s_rep1,p75_s_rep1,median_entries_per_sec_rep1,n_reps_rep2,mean_s_rep2,std_s_rep2,p25_s_rep2,p75_s_rep2,median_entries_per_sec_rep2,abs_mean_us_rep1,abs_mean_us_rep2,p1_us_rep1,abs_p99_us_rep1,per_hop_n_rep1,per_hop_abs_mean_us_rep1,p1_us_rep2,abs_p99_us_rep2,per_hop_n_rep2,per_hop_abs_mean_us_rep2,topology,source_workload_type,metric,mean_rep1,mean_rep2,delta_value,delta_pct_value,within_5pct_value,within_10pct_value,within_20pct_value,max_rep1,std_rep1,p5_rep1,p95_rep1,max_rep2,std_rep2,p5_rep2,p95_rep2
rq1,l3_lpm_acl,256.0,45.0,False,104.0,97.0,-7.0,-6.730769230769231,False,True,True,1000.0,120.787,55.42220901635239,98.0,120.0,276.03,612.4760000000429,1000.0,110.135,55.78457397608853,91.0,110.25,237.06999999999996,739.6040000000544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,1500.0,1.0,False,129.0,104.0,-25.0,-19.37984496124031,False,False,True,1000.0,142.955,82.6073662087828,116.0,148.0,366.1199999999999,1567.2870000000255,1000.0,111.821,31.602748182597864,99.0,115.0,253.08999999999992,445.08500000000765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,1500.0,25.0,False,105.0,98.0,-7.0,-6.666666666666667,False,True,True,1000.0,115.391,54.06798929557549,98.0,119.0,254.0,354.1470000001033,1000.0,106.92,41.50952469784063,93.0,107.0,222.02,518.3720000000335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_acl,1500.0,45.0,False,104.0,100.0,-4.0,-3.8461538461538463,True,True,True,1000.0,120.713,80.101916006722,97.0,123.0,266.01,340.966000000177,1000.0,113.599,41.804183867034034,92.0,115.0,268.01,398.0720000000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,64.0,1.0,False,117.0,96.0,-21.0,-17.94871794871795,False,False,True,2000.0,133.836,122.3611508184473,105.0,139.0,408.01,1026.09800000002,2000.0,104.767,94.44352016020012,90.0,107.0,238.06999999999996,390.1550000000316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,64.0,25.0,False,100.0,90.0,-10.0,-10.0,False,True,True,2000.0,107.3065,42.68578915807958,93.0,111.0,239.06999999999996,575.059000000012,2000.0,97.773,32.8775293622937,85.0,101.0,201.07999999999996,488.0080000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,64.0,45.0,False,99.0,91.0,-8.0,-8.080808080808081,False,True,True,2000.0,113.8745,93.7511727443741,92.75,112.0,255.03,1649.023000000005,2000.0,103.7115,95.65323851689176,85.0,104.0,213.02,500.0900000000184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,256.0,1.0,False,118.5,97.0,-21.5,-18.143459915611814,False,False,True,2000.0,142.9965,171.51806526166726,105.0,142.0,432.2199999999998,2169.68800000014,2000.0,109.03,83.98814859581248,92.0,109.0,282.04,1309.8850000001803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,256.0,25.0,False,100.0,89.0,-11.0,-11.0,False,False,True,2000.0,110.18,38.68484016290121,94.0,114.0,279.17999999999984,490.0210000000043,2000.0,100.045,87.45237523342053,84.0,99.0,246.18999999999983,2013.186000000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,256.0,45.0,False,100.0,91.0,-9.0,-9.0,False,True,True,1999.0,114.97698849424712,94.82401628701544,92.0,113.0,278.05999999999995,1501.700000000063,2000.0,102.333,48.20838241496528,85.0,104.0,218.01,616.1230000000251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
