p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l3_lpm,single_switch,1,45,resource_only,cpu_percent_total,601,7.570216306156405,15.3,1.20497363171717,6.4,9.9
l3_lpm,single_switch,1,45,resource_only,net_io_pps_per_iface,601,3878.2563800759663,3931.131419128273,160.19029619338932,3845.0058124650573,3921.6087618510523
l3_lpm,single_switch,1,45,resource_only,rss_per_bmv2_bytes,601,43384832.0,43384832.0,0.0,43384832.0,43384832.0
l3_lpm_acl,linear_n,4,1,resource_only,cpu_percent_per_bmv2,601,8.61846921797005,50.0,8.578592055390027,0.0,20.0
l3_lpm_acl,linear_n,4,1,resource_only,cpu_percent_total,601,7.698668885191348,16.3,1.058110686639283,6.8,9.2
l3_lpm_acl,linear_n,4,1,resource_only,net_io_pps_per_iface,601,355.5735286221328,6507.324084630704,251.97098955957296,319.7808637294605,360.3695048745959
l3_lpm_acl,linear_n,4,1,resource_only,rss_per_bmv2_bytes,601,171040768.0,171040768.0,0.0,171040768.0,171040768.0
l3_lpm_acl,single_switch,1,1,latency_l3,cpu_percent_per_bmv2,1934,3.1336608066184075,20.5,4.911477034863156,0.0,10.0
l3_lpm_acl,single_switch,1,1,latency_l3,cpu_percent_total,1934,7.197621509824199,20.0,1.1082414911765535,6.3,8.8
l3_lpm_acl,single_switch,1,1,latency_l3,net_io_pps_per_iface,1934,102.73099934777011,130.10233716481585,9.407636031796113,89.94413573919608,110.28076545497352
l3_lpm_acl,single_switch,1,1,latency_l3,rss_per_bmv2_bytes,1934,42904189.48500517,42991616.0,61787.91682130861,42860544.0,42991616.0
l3_lpm_acl,single_switch,1,25,latency_l3,cpu_percent_per_bmv2,1933,28.30346611484739,50.2,6.4837664293421495,20.0,40.0
l3_lpm_acl,single_switch,1,25,latency_l3,cpu_percent_total,1933,13.733574754267979,25.2,1.4087626904618362,12.2,16.1
l3_lpm_acl,single_switch,1,25,latency_l3,net_io_pps_per_iface,1933,2181.5330565236723,19693.054077026256,404.72343661891256,2159.236744469049,2189.971889241945
l3_lpm_acl,single_switch,1,25,latency_l3,rss_per_bmv2_bytes,1933,43051473.11743404,43249664.0,162836.36151912744,42860544.0,43249664.0
l3_lpm_acl,single_switch,1,45,latency_l3,cpu_percent_per_bmv2,1931,40.564267219057484,70.1,6.853543179481175,30.0,50.0
l3_lpm_acl,single_switch,1,45,latency_l3,cpu_percent_total,1931,14.552304505437595,35.2,3.7936883255446108,8.5,19.7
l3_lpm_acl,single_switch,1,45,latency_l3,net_io_pps_per_iface,1931,3924.2246428516664,20120.52106339169,583.9100180590517,3888.039087571203,3914.741046514441
l3_lpm_acl,single_switch,1,45,latency_l3,rss_per_bmv2_bytes,1931,43500733.31538063,43884544.0,309771.46579765284,43122688.0,43884544.0
l3_lpm_int,linear_n,4,1,resource_only,cpu_percent_per_bmv2,601,8.30648918469218,40.0,8.224735526870525,0.0,20.0
l3_lpm_int,linear_n,4,1,resource_only,cpu_percent_total,601,7.476372712146423,19.3,1.0804200514248143,6.3,9.3
l3_lpm_int,linear_n,4,1,resource_only,net_io_pps_per_iface,601,344.767251431428,393.81746563894626,23.091305601079846,319.7762429483791,360.4086890273617
l3_lpm_int,linear_n,4,1,resource_only,rss_per_bmv2_bytes,601,169869312.0,169869312.0,0.0,169869312.0,169869312.0
l3_lpm_int,single_switch,1,1,latency_l3,cpu_percent_per_bmv2,3866,3.039368856699431,30.0,4.8736763701475,0.0,10.0
l3_lpm_int,single_switch,1,1,latency_l3,cpu_percent_total,3866,7.407449560269012,29.6,1.641496607744847,6.2,9.9
l3_lpm_int,single_switch,1,1,latency_l3,net_io_pps_per_iface,3866,104.42703718155693,6534.196370070338,103.86161291405436,89.94155216032571,111.3072680098373
l3_lpm_int,single_switch,1,1,latency_l3,rss_per_bmv2_bytes,3866,42401520.76978789,42598400.0,181247.32325193804,42074112.0,42598400.0
l3_lpm_int,single_switch,1,25,latency_l3,cpu_percent_per_bmv2,3865,24.03901681759379,50.0,5.72045601727035,20.0,30.0
l3_lpm_int,single_switch,1,25,latency_l3,cpu_percent_total,3865,10.878473479948255,22.5,3.441066576008175,6.5,15.9
l3_lpm_int,single_switch,1,25,latency_l3,net_io_pps_per_iface,3865,2182.877403016804,12811.478503976305,295.66176939415107,2159.6282676992414,2189.8509327325432
