run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,repetition,schedule_index,n_samples,mean,std,median,iqr,p5,p95,p99,max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,3,13,601,15608.305984863931,1707.0186130750237,15530.575407680302,39.993850604363615,15481.984015137758,15597.5929807336,15613.74042723712,57378.92707640228
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,4,24,601,15659.706152499615,2971.6800989731014,15539.18854517404,37.963697607316135,15494.049523331465,15581.537431484325,15607.795244952249,88312.39944187475
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,0,36,601,167829299.5407654,65050.03878760375,167772160.0,131072.0,167772160.0,167903232.0,167903232.0,167903232.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,1,25,601,167772160.0,0.0,167772160.0,0.0,167772160.0,167772160.0,167772160.0,167772160.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,2,37,601,169203265.59733778,35897.53635229387,169213952.0,0.0,169082880.0,169213952.0,169213952.0,169213952.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,3,13,601,167832352.7986689,65372.22798223313,167772160.0,131072.0,167772160.0,167903232.0,167903232.0,167903232.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,4,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,4,24,601,168405929.1048253,48659.374393060105,168427520.0,0.0,168296448.0,168427520.0,168427520.0,168427520.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,0,20,600,12.417666666666667,10.836809892058483,10.0,20.0,0.0,30.0,40.0,60.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,1,10,601,12.644925124792014,10.896998594538974,10.0,20.0,0.0,30.0,40.0,50.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,2,19,601,12.117637271214642,10.09225057861436,10.0,20.0,0.0,30.0,40.0,50.0
